size,runtime_ms,num_stops
100,1.354,14
100,3.339,13
100,1.32,14
100,3.389,14
100,1.567,14
200,6.98,14
200,8.953,15
200,8.135,14
200,5.806,12
200,8.432,13
300,19.158,16
300,20.827,13
300,23.655,18
300,20.126,15
300,20.526,15
400,28.413,16
400,34.875,15
400,32.93,15
400,40.168,17
400,39.613,15
500,59.006,17
500,63.144,16
500,69.459,15
500,63.768,15
500,67.951,16
750,155.951,17
750,144.858,18
750,168.609,18
750,149.299,16
750,163.367,18
1000,299.368,18
1000,289.553,17
1000,290.752,16
1000,280.279,17
1000,280.055,18
